2018/09/17/02:06:41 | F3 W 1217.11 5322.07 12733.33 1528.93 19228.57 28799.12
2018/09/17/02:06:41 | F3 T 22.63 22.25
2018/09/17/02:06:41 | F3 D
2018/09/17/02:06:43 | F4 V 4.08 0.00
2018/09/17/02:06:43 | F4 W 1528.95 1451.50 528421.56 2987.73 9181.26 6263.91
2018/09/17/02:06:43 | F4 T 22.88 23.38
2018/09/17/02:06:43 | F4 D
2018/09/17/02:16:38 | FB V 4.08 0.00
2018/09/17/02:16:39 | F1 V 4.09 0.00
2018/09/17/02:16:39 | F1 W 5523.54 22373.42 28848.23 1722.69 21380.36 330999.47
2018/09/17/02:16:39 | F1 T 22.00 21.38
2018/09/17/02:16:39 | F1 D
2018/09/17/02:16:39 | FB W 2101.74 33164.55 33164.55 1324.73 22102.58 26623.01
2018/09/17/02:16:39 | F3 V 4.08 0.00
2018/09/17/02:16:39 | F3 W 1221.23 5283.87 12733.33 1533.27 19200.81 28799.12
2018/09/17/02:16:39 | F3 T 22.56 22.19
2018/09/17/02:16:39 | F3 D
2018/09/17/02:16:39 | FG V 4.09 0.00
2018/09/17/02:16:39 | FG W 4649.17 2073.20 69921.91 1664.78 24405.92 7895.06
2018/09/17/02:16:39 | FB T 21.13 20.88
2018/09/17/02:16:39 | FB D
2018/09/17/02:16:40 | F0 V 4.09 0.00
2018/09/17/02:16:40 | F0 W 2878.73 5125.69 1978.93 5352.68 5445.40 31084.34
2018/09/17/02:16:40 | F0 T 22.38 23.88
2018/09/17/02:16:40 | F0 D D5 9.38 0.11 24.1
2018/09/17/02:16:40 | FG T 22.06 22.94
2018/09/17/02:16:40 | FG D
2018/09/17/02:16:40 | F5 V 4.08 0.00
2018/09/17/02:16:40 | F5 W 2092.20 1554.97 29045.80 2058.94 4797.50 28946.83
2018/09/17/02:16:40 | F5 T 23.25 23.44
2018/09/17/02:16:40 | F5 D
2018/09/17/02:16:43 | F4 V 4.08 0.00
2018/09/17/02:16:43 | F4 W 1524.62 1460.06 528421.56 2960.31 9181.26 6281.18
2018/09/17/02:16:43 | F4 T 22.88 23.38
2018/09/17/02:16:43 | F4 D
2018/09/17/02:26:37 | FB V 4.08 0.00
2018/09/17/02:26:37 | FB W 2087.44 33104.10 33104.10 1316.38 22102.58 26623.01
2018/09/17/02:26:38 | FB T 21.13 20.88
2018/09/17/02:26:38 | FB D
2018/09/17/02:26:38 | F1 V 4.08 0.00
2018/09/17/02:26:38 | F1 W 5539.25 22339.38 28897.34 1686.98 21412.55 327332.84
2018/09/17/02:26:38 | F1 T 21.94 21.31
2018/09/17/02:26:38 | F1 D
2018/09/17/02:26:39 | FG V 4.09 0.00
2018/09/17/02:26:39 | FG W 4656.18 2101.76 69921.91 1664.80 23178.45 7905.50
2018/09/17/02:26:40 | F0 V 4.09 0.00
2018/09/17/02:26:40 | F0 W 2905.82 5125.69 1964.92 5352.68 4182.08 31029.56
2018/09/17/02:26:40 | F0 T 22.31 23.88
2018/09/17/02:26:40 | F0 D D5 9.42 0.11 24.1
2018/09/17/02:26:40 | FG T 22.00 22.88
2018/09/17/02:26:40 | FG D
2018/09/17/02:26:40 | F3 V 4.08 0.00
2018/09/17/02:26:40 | F3 W 1221.22 5329.68 12682.93 1528.93 19173.05 28750.01
2018/09/17/02:26:40 | F3 T 22.50 22.13
2018/09/17/02:26:40 | F3 D
2018/09/17/02:26:40 | F5 V 4.08 0.00
2018/09/17/02:26:40 | F5 W 2101.74 1520.28 28996.32 2058.94 4797.50 28996.32
2018/09/17/02:26:40 | F5 T 23.25 23.44
2018/09/17/02:26:40 | F5 D
2018/09/17/02:26:43 | F4 V 4.08 0.00
2018/09/17/02:26:43 | F4 W 1524.60 1451.50 528421.56 2954.84 9205.27 6298.47
2018/09/17/02:26:43 | F4 T 22.81 23.31
2018/09/17/02:26:43 | F4 D
2018/09/17/02:36:38 | FB V 4.08 0.00
2018/09/17/02:36:38 | F1 V 4.08 0.00
2018/09/17/02:36:38 | F1 W 5523.54 22305.33 28799.12 1709.28 21412.55 323666.16
2018/09/17/02:36:38 | F1 T 21.88 21.31
2018/09/17/02:36:38 | F1 D
2018/09/17/02:36:39 | FB W 2077.93 33104.10 33104.10 1270.71 22169.81 26623.01
2018/09/17/02:36:39 | F3 V 4.08 0.00
2018/09/17/02:36:39 | F3 W 1225.33 5291.50 12699.73 1503.00 19228.57 28799.12
2018/09/17/02:36:39 | F3 T 22.44 22.13
2018/09/17/02:36:39 | F3 D
2018/09/17/02:36:39 | FG V 4.09 0.00
2018/09/17/02:36:39 | FG W 4649.17 2106.52 69921.91 1651.48 24100.00 7915.94
2018/09/17/02:36:39 | FB T 21.00 20.81
2018/09/17/02:36:39 | FB D
2018/09/17/02:36:40 | F0 V 4.09 0.00
2018/09/17/02:36:40 | F0 W 2911.24 5125.69 1950.95 5329.68 3194.33 30920.00
2018/09/17/02:36:40 | F0 T 22.25 23.81
2018/09/17/02:36:40 | F0 D D5 9.48 0.11 24.1
2018/09/17/02:36:40 | FG T 21.94 22.88
2018/09/17/02:36:40 | FG D
2018/09/17/02:36:40 | F5 V 4.08 0.00
2018/09/17/02:36:40 | F5 W 2082.69 1541.94 28996.32 2058.94 4797.50 28996.32
2018/09/17/02:36:40 | F5 T 23.19 23.38
2018/09/17/02:36:40 | F5 D
2018/09/17/02:36:43 | F4 V 4.08 0.00
2018/09/17/02:36:43 | F4 W 1515.97 1451.51 266486.75 2933.00 9205.27 6289.84
2018/09/17/02:36:43 | F4 T 22.75 23.31
2018/09/17/02:36:43 | F4 D
2018/09/17/02:46:37 | FB V 4.08 0.00
2018/09/17/02:46:37 | FB W 2058.95 33164.55 33164.55 1366.68 22169.81 26623.01
2018/09/17/02:46:38 | FB T 21.00 20.81
2018/09/17/02:46:38 | FB D
2018/09/17/02:46:38 | F1 V 4.08 0.00
2018/09/17/02:46:38 | F1 W 5523.54 22339.38 29600.13 1704.82 21444.74 330999.47
2018/09/17/02:46:38 | F1 T 21.81 21.25
2018/09/17/02:46:38 | F1 D
2018/09/17/02:46:40 | F0 V 4.09 0.00
2018/09/17/02:46:40 | F0 W 2933.01 5125.69 1932.35 5329.68 2687.07 30811.31
2018/09/17/02:46:40 | F0 T 22.25 23.81
2018/09/17/02:46:40 | F0 D D5 9.49 0.11 24.1
2018/09/17/02:46:40 | FG T 21.94 22.81
2018/09/17/02:46:40 | FG D
2018/09/17/02:46:40 | FG V 4.09 0.00
2018/09/17/02:46:40 | FG W 4656.18 2116.09 69921.91 1655.91 24176.03 7936.89
2018/09/17/02:46:40 | F5 V 4.07 0.00
2018/09/17/02:46:40 | F5 W 2073.17 1533.27 28996.32 2044.74 4818.94 28946.83
2018/09/17/02:46:40 | F5 T 23.19 23.38
2018/09/17/02:46:40 | F5 D
2018/09/17/02:46:40 | F3 V 4.08 0.00
2018/09/17/02:46:40 | F3 W 1217.14 5453.17 12699.73 1515.95 19200.81 28799.12
2018/09/17/02:46:40 | F3 T 22.44 22.06
2018/09/17/02:46:40 | F3 D
2018/09/17/02:46:43 | F4 V 4.08 0.00
2018/09/17/02:46:43 | F4 W 1520.28 1455.78 290882.63 2916.67 9217.30 6289.81
2018/09/17/02:46:43 | F4 T 22.75 23.31
2018/09/17/02:46:43 | F4 D
2018/09/17/02:56:38 | FB V 4.08 0.00
2018/09/17/02:56:38 | F1 V 4.08 0.00
2018/09/17/02:56:38 | F1 W 5515.68 22339.38 29346.15 1722.69 21444.74 330999.47
2018/09/17/02:56:38 | F1 T 21.75 21.19
2018/09/17/02:56:38 | F1 D
2018/09/17/02:56:38 | FB W 2049.48 33164.55 33104.10 1379.32 22136.20 26666.66
2018/09/17/02:56:39 | FG V 4.09 0.00
2018/09/17/02:56:39 | F3 V 4.08 0.00
2018/09/17/02:56:39 | F3 W 1229.43 5299.11 12649.47 1515.95 19173.05 28848.23
2018/09/17/02:56:39 | F3 T 22.38 21.94
2018/09/17/02:56:39 | F3 D
2018/09/17/02:56:39 | FG W 4656.18 2120.86 69921.91 1655.92 24290.59 7936.89
2018/09/17/02:56:39 | FB T 20.94 20.75
2018/09/17/02:56:39 | FB D
2018/09/17/02:56:40 | F0 V 4.09 0.00
2018/09/17/02:56:40 | F0 W 2943.91 5118.23 1918.45 5314.39 2375.00 30756.96
2018/09/17/02:56:40 | F0 T 22.19 23.75
2018/09/17/02:56:40 | F0 D D5 9.50 0.11 24.1
2018/09/17/02:56:40 | FG T 21.88 22.75
2018/09/17/02:56:40 | FG D
2018/09/17/02:56:40 | F5 V 4.07 0.00
2018/09/17/02:56:40 | F5 W 2063.69 1563.68 29045.80 2058.94 4826.11 28946.83
2018/09/17/02:56:40 | F5 T 23.13 23.38
2018/09/17/02:56:40 | F5 D
2018/09/17/02:56:43 | F4 V 4.07 0.00
2018/09/17/02:56:43 | F4 W 1524.62 1451.50 290882.63 2911.24 9241.39 6298.47
2018/09/17/02:56:43 | F4 T 22.69 23.25
2018/09/17/02:56:43 | F4 D
2018/09/17/03:06:36 | FB V 4.08 0.00
2018/09/17/03:06:37 | FB W 2054.22 33164.55 33104.10 1308.04 22136.20 26666.66
2018/09/17/03:06:38 | FB T 20.94 20.75
2018/09/17/03:06:38 | FB D
2018/09/17/03:06:38 | F1 V 4.08 0.00
