2018/09/04/01:38:17 | F5 T 27.06 26.81
2018/09/04/01:38:17 | F5 D 
2018/09/04/01:38:20 | F4 V 4.08 0.00
2018/09/04/01:38:20 | F4 W 1425.92 334919.28 3400003.30 3633.95 23000.00 23986.71
2018/09/04/01:38:20 | F4 T 26.63 26.75
2018/09/04/01:38:20 | F4 D 
2018/09/04/01:48:13 | FB V 4.08 0.00
2018/09/04/01:48:13 | FG V 4.10 0.00
2018/09/04/01:48:14 | FB W 17377.38 36150.59 35265.48 20507.01 14710.14 32923.25
2018/09/04/01:48:14 | FB T -127.00 -127.00
2018/09/04/01:48:14 | FB D
2018/09/04/01:48:14 | FG W 3994.55 36500.00 29045.80 1537.60 14750.03 23395.07
2018/09/04/01:48:15 | FG T 25.69 26.50
2018/09/04/01:48:15 | FG D
2018/09/04/01:48:15 | F6 V 4.10 0.00
2018/09/04/01:48:15 | F6 W 2531.65 2676.59 24677.96 1485.79 19538.07 27702.81
2018/09/04/01:48:15 | F6 T 26.25 85.00
2018/09/04/01:48:15 | F6 D 
2018/09/04/01:48:15 | F1 V 4.09 0.00
2018/09/04/01:48:15 | F1 W 4719.44 24367.39 29295.90 1328.91 23322.47 330999.47
2018/09/04/01:48:15 | F1 T 26.75 25.06
2018/09/04/01:48:15 | F1 D 
2018/09/04/01:48:15 | F3 V 4.09 0.00
2018/09/04/01:48:15 | F3 W 10991.81 8782.14 31194.78 14337.86 21444.74 33531.91
2018/09/04/01:48:15 | F3 T 26.69 27.69
2018/09/04/01:48:15 | F3 D 
2018/09/04/01:48:17 | F0 V 4.10 0.00
2018/09/04/01:48:17 | F0 W 6359.28 6706.60 1749.63 9241.39 290882.63 34349.89
2018/09/04/01:48:17 | F0 T 26.63 27.56
2018/09/04/01:48:17 | F0 D D5 7.78 0.09 27.3
2018/09/04/01:48:17 | F5 V 4.09 0.00
2018/09/04/01:48:17 | F5 W 2054.21 14930.98 22649.01 1863.17 24914.67 29651.17
2018/09/04/01:48:17 | F5 T 27.06 26.81
2018/09/04/01:48:17 | F5 D 
2018/09/04/01:48:20 | F4 V 4.08 0.00
2018/09/04/01:48:20 | F4 W 1387.76 327332.84 3400003.30 3700.90 22964.63 23874.18
2018/09/04/01:48:20 | F4 T 26.63 26.75
2018/09/04/01:48:20 | F4 D 
2018/09/04/01:58:13 | FG V 4.10 0.00
2018/09/04/01:58:14 | FG W 3994.55 36500.00 29045.80 1533.27 14750.03 23431.37
2018/09/04/01:58:14 | FG T 25.63 26.44
2018/09/04/01:58:14 | FG D
2018/09/04/01:58:15 | FB V 4.08 0.00
2018/09/04/01:58:15 | F6 V 4.10 0.00
2018/09/04/01:58:15 | F6 W 2521.42 2681.82 24717.28 1481.49 19566.47 27702.81
2018/09/04/01:58:15 | F6 T 26.25 85.00
2018/09/04/01:58:15 | F6 D 
2018/09/04/01:58:15 | F1 V 4.09 0.00
2018/09/04/01:58:15 | F1 W 4719.44 24214.04 29145.53 1312.20 23286.41 330999.47
2018/09/04/01:58:15 | F1 T 26.75 24.94
2018/09/04/01:58:15 | F1 D 
2018/09/04/01:58:15 | FB W 17280.13 36220.09 35265.48 20507.01 14710.14 32863.30
2018/09/04/01:58:15 | FB T -127.00 -127.00
2018/09/04/01:58:15 | FB D
2018/09/04/01:58:15 | F3 V 4.09 0.00
2018/09/04/01:58:15 | F3 W 3918.38 8421.38 30117.65 13517.33 20844.28 32803.35
2018/09/04/01:58:15 | F3 T 26.69 27.63
2018/09/04/01:58:15 | F3 D 
2018/09/04/01:58:16 | F0 V 4.10 0.00
2018/09/04/01:58:16 | F0 W 6368.03 6706.60 1736.15 9217.30 290882.63 34285.71
2018/09/04/01:58:16 | F0 T 26.56 27.50
2018/09/04/01:58:16 | F0 D D5 7.78 0.09 27.4
2018/09/04/01:58:17 | F5 V 4.08 0.00
